lmin,iters
0.2303839266637867,107
0.045485352556516895,610
0.8617921856009831,14
0.2636526304567748,91
0.11965713650542986,227
0.8623558484944358,14
0.24504994628011795,95
0.15096757105362402,163
0.871225328048729,13
0.2412783364341138,102
0.05210444200888946,524
0.85681907375403,15
0.22447677038875546,112
0.05894542041879079,477
0.8380224875404078,16
0.25922180825864205,96
0.08841159082469525,303
0.8541150099330583,15
0.35585431560708847,66
0.06973317301509968,383
0.8285578020460275,16
0.2754510720739296,87
0.10392042959750827,254
0.8611726492618319,14
0.29407189855770577,82
0.17377457885006672,149
0.8593708559269175,14
0.2722411724654219,88
0.05991731443205321,468
0.8696308828793604,14
0.22074465090845305,115
0.195100840097794,136
0.8549152959797447,15
0.21070126428897384,119
0.05891759021500364,471
0.8535633132985636,14
0.2664605775668133,93
0.1572480201175216,165
0.8279503039791908,16
0.3042577451942,79
0.06346880403705664,443
0.8445867621367542,14
0.2785922044350595,85
0.042772431466891005,676
0.8595078791198943,14
0.21894018909007784,112
0.05373809575976261,506
0.8276039012897567,16
0.2806743085474779,86
0.13180908653532947,201
0.8533599163740149,14
0.321944096936163,74
0.08919691087025747,291
0.8633442455334754,14
0.3008458941495633,81
0.042406294295414995,669
0.8605893264534977,14
0.2598512838815962,93
0.2664357262318835,91
0.8398756044214747,14
0.33252916254761766,70
0.06401926256024033,409
0.8493679176731941,15
0.2992807146681584,82
0.05086478559373149,554
0.8603848168989419,14
0.25085409483189225,100
0.09822696546077711,245
0.8406303914440036,16
0.31356611255770506,79
0.18488309101429273,134
0.8513221373793671,15
0.31597581497846705,75
0.08725566150904367,321
0.8547310238306005,15
0.32419497259789576,73
0.09282281839602359,289
0.858542704169523,14
0.2236040419252444,115
0.07963011666566089,347
0.8681161205289177,14
0.2773922174266097,85
0.04738790450757943,569
0.8569244390175885,15
0.24604256973592323,98
0.04722403527382979,539
0.8532888680459196,15
0.24296079981146795,104
0.058283010399814,470
0.8498994663540467,15
0.4222064524991115,52
0.05076538990340935,549
0.8614920301605004,14
0.2804597418333461,88
0.08316546571617722,334
0.8533584575587306,15
0.3364769791343122,69
0.06725863671144647,395
0.8618311433956581,14
0.2613425225642537,95
0.06767265709304537,421
0.8508424639511305,14
0.26046504195040043,97
0.2749178832950292,89
0.8610172370325275,14
0.21131898416957912,120
0.05257724641401455,518
0.850304517617779,15
0.28846108706789964,88
0.06611366700830215,416
0.8454179147886108,15
0.22432395658774146,114
0.11301821239423902,233
0.8592535066248547,14
0.2391583377776099,104
0.04955908915037602,541
0.8620950379564726,14
0.23229949381797804,106
0.059847935494252984,474
0.8512753267320496,15
0.28665411862766677,81
0.05690242289396716,489
0.8581360099282571,14
0.2961857912769853,81
0.19562018339216994,129
0.854090684909969,15
0.26804844534548244,94
0.11421635824195125,232
0.8423227123213525,15
0.3100240957632091,76
0.10879128293598853,250
0.8455456545105817,15
0.23299835400967134,106
0.24840660851487634,98
0.8679856110799388,14
0.24908911162864267,103
0.18006110019163007,138
0.8576840964870929,14
0.3339525227022332,71
0.17667363625618787,140
0.866449307162981,13
0.2942764952905117,82
0.07082916845096679,391
0.8452026170048328,15
0.25124173378310155,94
0.07366150870342944,379
0.8619779907908112,14
0.23047308818186324,107
0.0841851740282048,328
0.8623887647855581,14
0.30878203471221466,78
0.16303010858694655,163
0.8219716715387017,17
0.275606642906537,90
0.10132044412491319,271
0.8462433915053356,15
0.27309722422105487,90
0.2354763830378882,104
0.8563916983766465,14
0.2411119913764305,104
0.046431536177057794,611
0.8650852227193624,14
0.33463074107205304,66
0.12177450923702385,217
0.8483600371313638,15
0.31770517673530707,75
0.05095130898656218,537
0.8629227623241585,14
0.20871967169766553,122
0.19155067538138332,132
0.8566134021014356,15
0.23774165848109116,105
0.04906559810860763,569
0.8393963632280881,16
0.24824982912661372,102
0.06126718520370426,446
0.8586617309202036,15
0.21917127613223109,113
0.04492448733211121,637
0.854958547762587,14
0.2964306167108284,83
0.04716259090953682,583
